Year,"GNI, Atlas Method (current US$)"
1960,440.8883921
1961,446.0503921
1962,480.2982101
1963,505.8496698
1964,541.4758857
1965,582.9287173
1966,625.5343528
1967,652.4610145
1968,700.8395975
1969,755.8362975
1970,805.3143871
1971,864.5089534
1972,970.6410951
1973,1173.506015
1974,1374.882389
1975,1541.83292
1976,1623.465235
1977,1718.817128
1978,1926.056729
1979,2273.971193
1980,2600.573526
1981,2707.198092
1982,2576.868841
1983,2445.524338
1984,2491.706953
1985,2574.659261
1986,2838.465418
1987,3306.294611
1988,3902.001239
1989,4055.814179
1990,4206.931494
1991,4352.206378
1992,4662.005441
1993,4743.608772
1994,4934.622133
1995,5233.142912
1996,5482.359564
1997,5527.804833
1998,5295.319274
1999,5299.93155
2000,5484.005716
2001,5458.527968
2002,5418.125742
2003,5820.064076
2004,6632.522931
2005,7348.002485
2006,7840.128127
2007,8354.439409
2008,8952.355246
2009,8978.850499
2010,9395.170308
2011,9878.057129
2012,10461.74842
2013,10833.05757
2014,10938.32259
2015,10604.41442
2016,10338.25367
2017,10371.49613
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
